"id","amascat","stat","value"
628,"hi","tuckman",2.77777777777778
629,"hi","tuckman",3.44444444444444
630,"hi","tuckman",2.44444444444444
631,"hi","tuckman",2.33333333333333
632,"hi","tuckman",2.33333333333333
633,"lo","tuckman",2.55555555555556
634,"hi","tuckman",2
635,"lo","tuckman",2.33333333333333
636,"hi","tuckman",3
637,"hi","tuckman",2.44444444444444
638,"lo","tuckman",2.33333333333333
640,"lo","tuckman",4.22222222222222
641,"lo","tuckman",2.77777777777778
642,"hi","tuckman",1.77777777777778
643,"lo","tuckman",3.88888888888889
644,"hi","tuckman",4.11111111111111
645,"lo","tuckman",3.88888888888889
646,"lo","tuckman",2.66666666666667
647,"hi","tuckman",2.33333333333333
648,"hi","tuckman",2.11111111111111
649,"hi","tuckman",5.33333333333333
650,"lo","tuckman",3.11111111111111
651,"lo","tuckman",5.44444444444444
652,"hi","tuckman",3.88888888888889
653,"lo","tuckman",2.11111111111111
654,"lo","tuckman",2.77777777777778
655,"lo","tuckman",3
602,"hi","easymathtime",3498.1
603,"hi","easymathtime",2817.9625
604,"hi","easymathtime",3428.0875
605,"lo","easymathtime",3666.1125
606,"lo","easymathtime",2180.8375
607,"hi","easymathtime",2565.7125
608,"hi","easymathtime",4269.8125
609,"hi","easymathtime",4126.3375
610,"lo","easymathtime",2533.425
611,"lo","easymathtime",3475.4375
612,"lo","easymathtime",2580.85
613,"lo","easymathtime",2652.425
614,"lo","easymathtime",2425.7
615,"lo","easymathtime",3005.225
616,"lo","easymathtime",2030.4125
617,"hi","easymathtime",4876.525
618,"lo","easymathtime",2257.1125
619,"lo","easymathtime",2230.8125
620,"hi","easymathtime",3475.0375
621,"lo","easymathtime",2494.5375
622,"hi","easymathtime",3854.2
625,"lo","easymathtime",3669.8625
626,"hi","easymathtime",4207.3375
627,"hi","easymathtime",3274.7625
628,"hi","easymathtime",2242.175
629,"hi","easymathtime",3629.9
630,"hi","easymathtime",3837.825
631,"hi","easymathtime",3683.55
632,"hi","easymathtime",2478.4625
633,"lo","easymathtime",3790.0875
634,"hi","easymathtime",3888.6375
635,"lo","easymathtime",4047.5
636,"hi","easymathtime",3804.725
637,"hi","easymathtime",2841.5125
638,"lo","easymathtime",2671.05
640,"lo","easymathtime",3725.575
641,"lo","easymathtime",2363.5625
642,"hi","easymathtime",3650.55
643,"lo","easymathtime",3002.8125
644,"hi","easymathtime",3781.55
645,"lo","easymathtime",3042.225
646,"lo","easymathtime",2382.7875
647,"hi","easymathtime",2869.0125
648,"hi","easymathtime",2314.9375
649,"hi","easymathtime",4271.9375
650,"lo","easymathtime",2634.5125
651,"lo","easymathtime",2226.8625
652,"hi","easymathtime",2815.15
653,"lo","easymathtime",2098.6125
654,"lo","easymathtime",3475.85
655,"lo","easymathtime",3472.9125
602,"hi","hardmathtime",4786.9
603,"hi","hardmathtime",3595.125
604,"hi","hardmathtime",5090.1
605,"lo","hardmathtime",4436.7625
606,"lo","hardmathtime",4623.45
607,"hi","hardmathtime",4251.2625
608,"hi","hardmathtime",3632.1
609,"hi","hardmathtime",3087.225
610,"lo","hardmathtime",4369.35
611,"lo","hardmathtime",4041.575
612,"lo","hardmathtime",4568.375
613,"lo","hardmathtime",3955.35
614,"lo","hardmathtime",4622.9
615,"lo","hardmathtime",4232.8875
